Clase,Largo,Ancho
1,71,32
1,50,22
1,36,15
1,54,30
1,40,19
1,25,14
1,32,17
1,55,25
1,47,22
1,42,20
1,25,13
1,50,22
1,35,12
1,35,15
1,46,17
1,60,28
1,36,18
1,78,39
1,50,25
1,60,30
1,53,27
1,32,15
1,45,20
1,60,30
1,47,21
1,52,25
1,57,30
1,55,25
1,46,24
1,32,15
1,55,25
1,63,31
1,54,24
1,44,22
1,51,20
1,56,24
1,41,20
1,53,22
1,56,26
1,52,22
1,44,19
1,50,23
1,45,21
1,37,17
1,52,21
1,55,23
1,53,27
1,56,25
1,55,22
1,50,22
1,47,20
1,58,27
1,65,21
1,65,26
1,55,28
1,45,18
1,55,21
1,55,23
1,52,24
1,43,22
1,60,30
1,61,29
1,60,35
1,55,20
1,51,22
1,65,21
1,52,25
1,58,21
1,51,20
1,50,21
1,55,23
1,46,22
1,61,22
1,62,26
1,53,18
1,40,20
1,50,25
1,44,15
1,55,25
1,60,35
1,55,23
1,62,30
1,61,25
1,55,30
1,57,40
1,60,31
1,52,30
1,40,17
1,50,30
1,54,35
1,65,33
1,65,35
1,60,23
1,59,25
1,52,20
1,43,19
1,55,24
1,54,19
1,55,26
1,50,18
1,65,28
1,45,20
1,65,30
1,43,18
1,68,36
1,60,30
1,50,21
1,69,34
1,62,32
1,57,26
1,45,20
1,40,19
1,50,21
1,55,23
1,64,29
1,50,22
1,51,21
1,34,16
1,33,13
1,50,23
1,60,25
1,65,30
1,51,23
1,60,24
1,64,24
1,54,23
1,62,26
1,48,21
1,53,24
1,73,29
1,56,25
1,73,26
1,53,25
1,54,21
1,55,27
1,44,21
1,61,31
1,65,32
1,63,28
1,65,30
1,39,19
1,63,30
1,50,21
1,62,30
1,52,24
1,55,22
1,45,20
1,50,21
1,50,19
1,47,23
1,63,26
1,54,24
1,62,29
1,54,23
1,61,28
1,62,31
1,61,30
1,43,19
1,55,25
1,54,24
1,63,29
1,55,26
1,59,26
1,57,27
1,59,28
1,62,26
1,69,35
1,61,27
1,52,26
1,51,24
1,44,22
1,68,35
1,44,21
1,66,33
1,73,29
1,59,25
1,60,27
1,64,25
1,61,28
1,52,25
1,76,30
1,62,29
1,46,23
1,38,20
1,49,24
1,57,25
1,56,26
1,48,21
1,60,29
1,57,25
1,67,30
1,40,19
1,48,21
1,44,21
1,51,24
1,40,20
1,50,25
1,55,27
1,40,15
1,40,17
1,51,26
1,35,17
1,65,32
1,62,30
1,61,27
1,68,29
1,66,33
1,53,24
1,60,28
1,55,27
1,56,26
1,80,42
1,73,32
1,73,36
1,66,32
1,50,23
1,50,24
1,67,33
1,49,22
1,72,31
1,64,32
1,50,32
1,44,21
1,91,43
1,62,31
1,50,30
1,30,18
1,33,16
1,36,19
1,30,17
1,45,22
1,45,22
1,42,20
1,20,10
1,35,20
1,50,26
1,30,16
1,40,20
1,30,15
1,40,19
1,59,22
1,65,30
1,60,30
1,70,32
1,52,24
1,63,29
1,69,31
1,66,35
1,60,29
1,55,29
1,55,23
1,48,25
1,60,32
1,52,23
1,52,25
1,55,21
1,50,18
1,49,21
1,57,26
1,57,28
1,63,31
1,44,19
1,48,22
1,51,23
1,61,30
1,50,29
1,57,26
1,49,24
1,51,22
1,21,13
1,45,25
1,46,29
1,70,31
1,56,27
1,73,35
1,71,35
1,52,25
1,65,30
1,41,20
1,49,22
1,50,32
1,47,24
1,68,36
1,51,23
1,45,20
1,60,30
1,61,31
1,65,33
1,60,25
1,50,24
1,50,20
1,44,20
1,56,32
1,55,28
1,47,23
1,60,25
1,75,36
1,46,21
1,42,19
1,44,30
1,71,29
1,63,28
1,75,33
1,70,30
1,63,27
1,68,29
1,57,20
1,59,26
